1                name               |           model            |  asset_type  | serial_number 
261  1201DAVIS-B-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2142F1E0

262  1201DAVIS-B-ESW-2                | WS-C3850-48P-L             | SWITCH       | FCW1829C10K

263  1220LEON-1-ESW-1                 | WS-C3850-24P-L             | SWITCH       | FOC1923U06P

264  1301KWASHDC-300-03A-ESW-1        | WS-C3850-48P-L             | SWITCH       | FOC2225L04T

265  1603ORR-1252-ESW-1               | WS-C3850-24P-L             | SWITCH       | FCW1918D06K

266  1603ORR-268-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2050D00L

267  1603ORR-268-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW2050F05Q

268  1603ORR-268-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2050U06F

269  1603ORR-268-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2050X03K

270  1603ORR-268-ESW-1                | WS-C3850-48P-L             | SWITCH       | FCW1903D02U

271  1603ORR-314-ESW-1                | WS-C3850-48P-L             | SWITCH       | FOC2022U1NT

272  1603ORR-926C-ESW-1               | WS-C3850-48P-L             | SWITCH       | FCW2104F12N

273  160GRAND-6-619-ESW-1             | WS-C3850-48P-L             | SWITCH       | FOC2241X0BD

274  1800SHDN-B-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FCW2143D0VR

275  1800SHDN-B-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FCW2142F1G3

276  1800SHDN-B-ESW-1                 | WS-C3850-48P-L             | SWITCH       | FCW2143C0QP

277  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1536P0MA

278  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1537K0QB

279  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1633P10K

280  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1525P133

281  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1643P070

282  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1537R0JP

283  1800SHERMAN-2-ESW-1              | WS-C3750X-48P              | SWITCH       | FDO1537R0BB

284  1800SHERMAN-2-ESW-4              | WS-C3850-48P-L             | SWITCH       | FOC1748U0AB

285  1800SHERMAN-2-ESW-4              | WS-C3850-48P-L             | SWITCH       | FOC1803Y5VJ

286  1800SHERMAN-2-ESW-4              | WS-C3850-48P-L             | SWITCH       | FOC1807X0S5

287  1800SHERMAN-2-ESW-4              | WS-C3850-48P-L             | SWITCH       | FOC1807Y4UH

288  1800SHERMAN-2-ESW-4              | WS-C3850-48P-L             | SWITCH       | FOC1807U0QW

289  1800SHERMAN-2-ESW-4              | WS-C3850-48P-L             | SWITCH       | FOC1807U0RT

