name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
2020RDG-FW-2-CI,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX 3600,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:16:52-05,,,EVDC,F12
2020RDG-IDF-C44-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST 3750-48PS,,,,OUT OF SERVICE,,OUT SERV,OUT OF SERVICE,,2018-01-29 08:35:41-05,,,EVDC,N12
2020RDG-IDF-C44-ESW-2,NETWORK SWITCH,CISCO SYSTEMS,CATALYST 3750-48PS,,,,OUT OF SERVICE,,OUT SERV,OUT OF SERVICE,,2018-01-29 08:36:49-05,,,EVDC,N12
2020RDG-IDF-FW-1-CI,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX 3600,8221107,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:18:57-05,,,EVDC,F21
2020RDG-IDF-H12-ESW-1-01,NETWORK SWITCH,JUNIPER NETWORKS,SWITCH EX4200-24T 2PS,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:19:24-05,,,EVDC,H12
2020RDG-IDF-H21-ESW-1-01,NETWORK SWITCH,JUNIPER NETWORKS,SWITCH EX4200-24T 2PS,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:19:48-05,,,EVDC,H21
2020RDG-IDF-LTM-1,NETWORK LOAD BALANCER,F5 NETWORKS,BIG-IP LTM 6900,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:20:05-05,,,EVDC,F12
2020RDG-IDF-LTM-2,NETWORK LOAD BALANCER,F5 NETWORKS,BIG-IP LTM 6900,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:20:27-05,,,EVDC,F21
2020RDG-IDF-LTM-TEST-01,NETWORK LOAD BALANCER,F5 NETWORKS,BIG-IP LTM 1600,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:20:54-05,,,EVDC,F12
2020RDG-IDF-NDR-I62-FW-1,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SSG 140,01855112008001683,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 14:56:33-05,,,EVDC,I62
2020RDG-IDF-NDR-V48-FW-2-SESP-NODE-00,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX 220,,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:15:20-05,,,EVDC,V48
2020RDG-IDF-NDR-V48-FW-2-SESP-NODE-01,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX 220,,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:15:36-05,,,EVDC,V48
2020RDG-IDF-P48-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:16:32-05,,,EVDC,P48
2020RDG-IDF-P48-ESW-2,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:16:55-05,,,EVDC,P48
2020RDG-IDF-P48-FW-1-IEMS,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX210,CD4313AK0306,,,ACCESS NETWORK,COLOCATION,SO,MCC ENGINEERING AND APPLIED SCIENCE - MONTANARI,JOHNATHAN GAETZ,2019-03-18 12:28:41-04,,,EVDC,P48
2020RDG-IDF-Q39-ESW-1-01,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:17:58-05,,,EVDC,Q39
2020RDG-IDF-Q39-ESW-1-02,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:19:44-05,,,EVDC,Q39
2020RDG-IDF-Q48-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:20:11-05,,,EVDC,Q48
2020RDG-IDF-Q48-ESW-2,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:20:29-05,,,EVDC,Q48
2020RDG-IDF-R39-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:20:49-05,,,EVDC,R39
2020RDG-IDF-RTR-1,NETWORK ROUTER,CISCO SYSTEMS,CATALYST C6509,,,,DISTRIBUTION NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:25:31-05,,,EVDC,G12
2020RDG-IDF-RTR-2,NETWORK ROUTER,CISCO SYSTEMS,CATALYST C6509,,,,DISTRIBUTION NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2020-04-09 16:28:24-04,,,EVDC,G21
2020RDG-IDF-S39-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:21:29-05,,,EVDC,S39
2020RDG-IDF-S39-ESW-2,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:21:45-05,,,EVDC,S39
2020RDG-IDF-T34-ESW-2-01,NETWORK SWITCH,JUNIPER NETWORKS,SWITCH EX4200-24T 2PS,UV04551,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:22:10-05,,,EVDC,T34
2020RDG-IDF-T39-ESW-1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:22:48-05,,,EVDC,T39
2020RDG-IDF-T39-ESW-2,NETWORK SWITCH,CISCO SYSTEMS,CATALYST C3750G-24TS-1U,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:23:19-05,,,EVDC,T39
2020-RDG-IDF-T48-FW-1-SCS-NODE0,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX 240,,,,EDGE NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:27:41-05,,,EVDC,T48
2020-RDG-IDF-U48-FW-1-SCS-NODE1,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX 240,,,,EDGE NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:28:03-05,,,EVDC,U48
2020-RDG-IDF-U48-FW-2-SCS,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SSG 140,,,,EDGE NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:28:25-05,,,EVDC,U48
2020RDG-IDF-W34-ESW-1-01,NETWORK SWITCH,JUNIPER NETWORKS,SWITCH EX4200-24T 2PS,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2011-12-14 10:21:25-05,,,EVDC,T34
2020RDG-IDF-W34-ESW-2-00^^5387,NETWORK SWITCH,JUNIPER NETWORKS,SWITCH EX4200-24T 2PS,,,,DISTRIBUTION NETWORK,,,NUIT-CI-TNS-DATANETWORK,,2016-06-15 10:44:07-04,,,EVDC,
2020RDG-IDF-W34-ESW-2-01,NETWORK SWITCH,JUNIPER NETWORKS,SWITCH EX4200-24T 2PS,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2017-12-12 15:26:42-05,,,EVDC,T34
2020RDG-INFOBLOX-01,NETWORK APPLIANCES,INFOBLOX,1552-A,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2019-05-02 15:26:27-04,,,EVDC,F12
2020RDG-RTR-3,NETWORK ROUTER,CISCO SYSTEMS,CATALYST C6509,,,,DISTRIBUTION NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2013-01-16 11:29:18-05,,,EVDC,F12
2020 RIDGE  BORDER ROUTER,NETWORK ROUTER,JUNIPER NETWORKS,MX480,,,,CORE NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,LAURA  KRISTOFF,2018-06-04 22:08:19-04,FP-664849,,EVDC,G12
203.04 CISCO 1,NETWORK APPLIANCES,CISCO SYSTEMS,2524 ROUTER,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 23:27:40-04,,,CH 8602 241,0203.04
203.04 CISCO 2,NETWORK APPLIANCES,CISCO SYSTEMS,2524 ROUTER,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 23:29:56-04,,,CH 8602 241,0203.04
203.04 FUJITUS DCM 1,CABLE MANAGEMENT,FUJITSU,PRIMERGY RX300 S2,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-23 23:17:53-04,,,CH 8602 241,0203.04
203.04 FUJITUS STAR1-BATAAN-1,CONNECTION DEVICE,FUJITSU,FLASHWAVE 7500,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-23 23:23:44-04,,,CH 8602 241,0203.04
203.04 FUJITUS STAR1-BATAAN-2,CONNECTION DEVICE,FUJITSU,PRIMERGY RX300 S2,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-23 23:20:16-04,,,CH 8602 241,0203.04
203.04 FUJITUS STARLIGHT 1,CONNECTION DEVICE,FUJITSU,FLASHWAVE 7500,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-23 23:21:54-04,,,CH 8602 241,0203.04
203.06 NORTEL OMX 1,NETWORK APPLIANCES,NORTEL NETWORKS,OMX 4 CH 800 GHZ,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:56:18-04,,,CH 8602 241,0203.06
203.06 NORTEL OMX 2,NETWORK APPLIANCES,NORTEL NETWORKS,OMX 4 CH 800 GHZ,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:57:23-04,,,CH 8602 241,0203.06
203.06 NORTEL OMX 3,NETWORK APPLIANCES,NORTEL NETWORKS,OMX 4 CH 800 GHZ,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:58:23-04,,,CH 8602 241,0203.06
203.06 NORTEL OMX 4,NETWORK APPLIANCES,NORTEL NETWORKS,OMX 4 CH 800 GHZ,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 23:00:02-04,,,CH 8602 241,0203.06
203.06 TRUSTWAVE 1,NETWORK APPLIANCES,TRUSTWAVE,TS-10,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 23:03:17-04,,,CH 8602 241,0203.06
203.07 JUNIPER SHELF 1,NETWORK APPLIANCES,JUNIPER NETWORKS,MX2010,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:51:01-04,,,CH 8602 241,0203.07
203.07 POWER PDU 2,ELECTRICAL DEVICE,TRIMM,727 SERIES,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-23 22:48:50-04,,,CH 8602 241,0203.07
203.08 HUAWEL 1,NETWORK APPLIANCES,HUAWEI,OPTIX METRO 6040,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:32:17-04,,,CH 8602 241,0203.08
203.08 TRIMM 1,ELECTRICAL DEVICE,TRIMM,727 SERIES,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-23 22:25:07-04,,,CH 8602 241,0203.08
203.09 CIENA 1,NETWORK APPLIANCES,CIENA,ACTIVEDGE 3930,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 22:05:47-04,,,CH 8602 241,0203.09
203.10 CISCO 1,NETWORK APPLIANCES,CISCO SYSTEMS,WS-C2960X-24PS-L,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 21:46:15-04,,,CH 8602 241,0203.10
203.10 CISCO SHELF 1,NETWORK APPLIANCES,CISCO SYSTEMS,CATALYST 9606R,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-23 21:43:53-04,,,CH 8602 241,0203.10
203.10 DELL 1,SERVER,DELL,POWEREDGE R420,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-23 21:33:06-04,,,CH 8602 241,0203.10
204.02 CIENA 1,NETWORK APPLIANCES,CIENA,6500-07,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:16:50-04,,,CH 8602 241,204.02
204.02 CIENA 2,NETWORK APPLIANCES,CIENA,6500-07,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:18:00-04,,,CH 8602 241,204.02
204.02 FORCE10 Z9000,NETWORK APPLIANCES,DELL,FORCE10 Z9000,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:22:41-04,,,CH 8602 241,204.02
204.02 POWER 1,ELECTRICAL DEVICE,PROE HARDWARE,PRO490,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 21:25:28-04,,,CH 8602 241,204.02
204.03 CIENA 1,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:31:26-04,,,CH 8602 241,204.03
204.04 CIENA 1,NETWORK APPLIANCES,CIENA,6500-07,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:38:14-04,,,CH 8602 241,204.04
204.04 CIENA 2,NETWORK APPLIANCES,CIENA,6500-07,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:43:07-04,,,CH 8602 241,204.04
204.04 CIENA 3,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:45:44-04,,,CH 8602 241,204.04
204.04 CIENA 4,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:47:08-04,,,CH 8602 241,204.04
204.04 CIENA 5,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:48:09-04,,,CH 8602 241,204.04
204.04 CIENA 6,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 21:49:14-04,,,CH 8602 241,204.04
204.04 SUPERMICRO 1,SERVER,SUPERMICRO,1 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 21:55:31-04,,,CH 8602 241,204.04
204.06 CYAN 1,NETWORK APPLIANCES,CYAN,Z33 CHASSIS,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 22:20:13-04,,,CH 8602 241,204.06
204.06 JUNIPER 1,NETWORK APPLIANCES,JUNIPER NETWORKS, MAG-RK1U2,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 22:25:53-04,,,CH 8602 241,204.06
204.06 SUPERMICRO 1,SERVER,SUPERMICRO,4 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 22:24:14-04,,,CH 8602 241,204.06
204.10 DELL 1,SERVER,DELL,POWEREDGE R630,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:55:58-04,,,CH 8602 241,204.10
204.10 INVENTEC ONL-1,CONNECTION DEVICE,CISCO SYSTEMS,UCS C250 M2,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:44:07-04,,,CH 8602 241,204.10
204.10 INVENTEC ONL-2,CONNECTION DEVICE,CISCO SYSTEMS,UCS C250 M2,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:42:36-04,,,CH 8602 241,204.10
204.10 SUPERMICRO 1,SERVER,SUPERMICRO,4 RUS SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:20:58-04,,,CH 8602 241,204.10
204.10 SUPERMICRO 1-A,SERVER,SUPERMICRO,2 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:23:29-04,,,CH 8602 241,204.10
204.10 SUPERMICRO 2,SERVER,SUPERMICRO,3 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:24:58-04,,,CH 8602 241,204.10
204.10 SUPERMICRO 3,SERVER,SUPERMICRO,3 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:26:41-04,,,CH 8602 241,204.10
204.10 SUPERMICRO 4,SERVER,SUPERMICRO,1 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-16 23:59:13-04,,,CH 8602 241,204.10
205.03 ALARM CHASSIS,NETWORK APPLIANCES,INFINERA,TM-301/II CHASSIS,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 02:10:02-04,,,CH 8602 241,205.03
205.04 CIENA  1,NETWORK APPLIANCES,CIENA,6500-02,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 02:24:20-04,,,CH 8602 241,205.04
205.04 PERLE 1,NETWORK APPLIANCES,PERLE,IOLAN STS8,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 23:19:43-04,,,CH 8602 241,205.04
205.05 CISCO SW 1,CONNECTION DEVICE,CISCO SYSTEMS,MXE 3500,N/A,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-14 03:10:59-04,,,CH 8602 241,205.05
205.06 SENTURY,CONNECTION DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-14 03:44:19-04,,,CH 8602 241,205.06
205.07 CISCO ROUTER 1,NETWORK APPLIANCES,CISCO SYSTEMS,ROUTER 2921,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 01:16:53-04,,,CH 8602 241,205.07
205.07 JUMIPER MX 2,NETWORK APPLIANCES,JUNIPER NETWORKS,MX80,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 01:18:35-04,,,CH 8602 241,205.07
205.07 JUNIPER MX960 1,NETWORK APPLIANCES,JUNIPER NETWORKS,MX960,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 22:50:20-04,,,CH 8602 241,205.07
205.07 SENTURY POWER 1,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 01:21:00-04,,,CH 8602 241,205.07
205.07 SENTURY POWER 2,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 01:22:38-04,,,CH 8602 241,205.07
205.08 POWEREDGE 1,SERVER,DELL,POWEREDGE R720XD,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-14 22:16:49-04,,,CH 8602 241,205.08
205.08 SENTRY POWER 1,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-14 22:21:21-04,,,CH 8602 241,205.08
205.09 SENTRY POWER 1,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-14 22:35:40-04,,,CH 8602 241,205.09
207.01 CISCO ARS 1,NETWORK APPLIANCES,CISCO SYSTEMS,ASR 1421006,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-16 00:07:48-04,,,CH 8602 241,207.01
207.04 CORSA 1,NETWORK APPLIANCES,JUNIPER NETWORKS,SWITCH EX2200-24P,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 02:05:06-04,,,CH 8602 241,207.04
207.04 MEDIA CONVERTER 1,NETWORK APPLIANCES,TEC OPTIX,MEDIA CONVERTER,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 01:57:16-04,,,CH 8602 241,207.04
207.04 SENTURY 1,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 01:43:23-04,,,CH 8602 241,207.04
207.04 SUPERMICRO 2,SERVER,SUPERMICRO,2 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 02:00:59-04,,,CH 8602 241,207.04
207.04 SUPERMOCRO 1,SERVER,SUPERMICRO,2 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 01:55:06-04,,,CH 8602 241,207.04
207.05 JUNIPER SWITCH 1,NETWORK APPLIANCES,JUNIPER NETWORKS,SWITCH EX2200-24P,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-15 00:39:53-04,,,CH 8602 241,207.05
207.05 SENTURY POWER 1,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 00:40:23-04,,,CH 8602 241,207.05
207.06 SENTURY POWER,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 01:10:07-04,,,CH 8602 241,207.06
207.06 SUPERMICRO 1,SERVER,SUPERMICRO,3 RU SM,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-15 01:05:29-04,,,CH 8602 241,207.06
209.02 ADTRAN-0,ELECTRICAL DEVICE,ATLAS SOUND,CP400,,,,PRODUCTION,,SO,NUIT-CI-TNS-VOICENETWORK,,2020-04-24 02:07:45-04,,,CH 8602 241,209.02
209.02 ADTRAN-1,CONNECTION DEVICE,ATLAS SOUND,CP400,,,,PRODUCTION,,SO,NUIT-CI-TNS-VOICENETWORK,,2020-04-24 02:07:31-04,,,CH 8602 241,209.02
209.02 CISCO 1,NETWORK APPLIANCES,CISCO SYSTEMS,4400 WIRELESS CONTROLLER,,,,DISTRIBUTION NETWORK,,,NUIT-CI-TNS-VOICENETWORK,,2020-04-24 02:02:37-04,,,CH 8602 241,209.02
210.11 CISCO SYSTEM 1,CONNECTION DEVICE,CISCO SYSTEMS,VG350,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-29 00:32:55-04,,,CH 8602 241,210.11
210.11 CISCO SYSTEM 2,CONNECTION DEVICE,CISCO SYSTEMS,VG350,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-29 00:34:01-04,,,CH 8602 241,210.11
210.11 CISCO SYSTEM 3,CONNECTION DEVICE,CISCO SYSTEMS,VG350,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-29 00:35:15-04,,,CH 8602 241,210.11
210.11 CISCO SYSTEM 4,CONNECTION DEVICE,CISCO SYSTEMS,VG350,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-29 00:36:33-04,,,CH 8602 241,210.11
210.11 CISCO SYSTEM 5,CONNECTION DEVICE,CISCO SYSTEMS,VG350,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-29 00:37:39-04,,,CH 8602 241,210.11
210.12 PALOALTO NETWORK 1,NETWORK APPLIANCES,PALOALTO NETWORKS,PA-5250,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-29 00:46:15-04,,,CH 8602 241,210.12
210.12 PALOALTO NETWORK 2,NETWORK APPLIANCES,PALOALTO NETWORKS,PA-5060,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-29 00:47:29-04,,,CH 8602 241,210.12
210.13 ABBT-RTR-2,NETWORK APPLIANCES,CISCO SYSTEMS,NEXUS N7K-C7004,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 22:48:59-04,,,CH 8602 241,210.13
210.13 CISCO ROUTER 1,NETWORK APPLIANCES,CISCO SYSTEMS,ROUTER 1900,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 22:37:47-04,,,CH 8602 241,210.13
210.13 CISCO ROUTER 2,NETWORK APPLIANCES,CISCO SYSTEMS,ROUTER 3800,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 22:45:14-04,,,CH 8602 241,210.13
210.13 DELL 1,SERVER,DELL,POWEREDGE 1950,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-28 22:39:26-04,,,CH 8602 241,210.13
210.15 CISCO SERVER 1,NETWORK APPLIANCES,CISCO SYSTEMS,CATALYST 2900,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 23:06:09-04,,,CH 8602 241,210.15
210.15 CISCO SERVER 2,NETWORK APPLIANCES,CISCO SYSTEMS,CATALYST WS-C3850-48XS,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 23:07:48-04,,,CH 8602 241,210.15
210.15 CISCO SYSTEM 1,NETWORK APPLIANCES,CISCO SYSTEMS,ASA 5585,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 23:28:57-04,,,CH 8602 241,210.15
210.15 CISCO SYSTEM 2,NETWORK APPLIANCES,CISCO SYSTEMS,ASA 5585,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-28 23:30:22-04,,,CH 8602 241,210.15
210.15 CISCO SYSTEM 3,NETWORK APPLIANCES,CISCO SYSTEMS,ASA 5585,,,,DISTRIBUTION NETWORK,,,ICAIR - ESNET,,2020-04-28 23:31:33-04,,,CH 8602 241,210.15
210.15 CISCO SYSTEM 4,NETWORK APPLIANCES,CISCO SYSTEMS,CATALYST WS-C3850-48XS,,,,DISTRIBUTION NETWORK,,,ICAIR - ESNET,,2020-04-28 23:33:12-04,,,CH 8602 241,210.15
210.15 CISCO SYSTEM 5,NETWORK APPLIANCES,CISCO SYSTEMS,CATALYST WS-C3850-48XS,,,,DISTRIBUTION NETWORK,,,ICAIR - ESNET,,2020-04-28 23:34:45-04,,,CH 8602 241,210.15
