1              name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
191  EVRACR6                       | SERVER            | DELL             | POWEREDGE R620          | D337P22                                      | U34     | ADMIN

192  EVRACR9                       | SERVER            | DELL             | POWEREDGE R620          | D355P22                                      | U34     | ADMIN

193  EVRACT1                       | SERVER            | DELL             | POWEREDGE R620          | HP6SK02                                      | U34     | ADMIN

194  EVRACT10                      | SERVER            | DELL             | POWEREDGE R620          | HP5SK02                                      | U34     | ADMIN

195  EVRACT11                      | SERVER            | DELL             | POWEREDGE R620          | HP5ZK02                                      | U34     | ADMIN

196  EVRACT12                      | SERVER            | DELL             | POWEREDGE R630          | G42GGB2                                      | U34     | ADMIN

197  EVRACT13                      | SERVER            | DELL             | POWEREDGE R630          | G42HGB2                                      | U34     | ADMIN

198  EVRACT141                     | SERVER            | DELL             | POWEREDGE R630          | G42JGB2                                      | U34     | ADMIN

199  EVRACT15                      | SERVER            | DELL             | POWEREDGE R640          | 6ZTSN23                                      | V39     | ADMIN

200  EVRACT16                      | SERVER            | DELL             | POWEREDGE R640          | 6ZVRN23                                      | V39     | ADMIN

201  EVRACT17                      | SERVER            | DELL             | POWEREDGE R640          | 6ZTQN23                                      | V39     | ADMIN

202  EVRACT18                      | SERVER            | DELL             | POWEREDGE R640          | 6ZRRN23                                      | V39     | ADMIN

203  EVRACT19                      | SERVER            | DELL             | POWEREDGE R640          | 6ZQSN23                                      | V39     | ADMIN

204  EVRACT20                      | SERVER            | DELL             | POWEREDGE R640          | 6ZNQN23                                      | V39     | ADMIN

205  EVRACT21                      | SERVER            | DELL             | POWEREDGE R640          | 6ZNSN23                                      | V39     | ADMIN

206  EVRACT22                      | SERVER            | DELL             | POWEREDGE R640          | 6ZQQN23                                      | V39     | ADMIN

207  EVRACT7                       | SERVER            | DELL             | POWEREDGE R620          | HP5WK02                                      | U34     | ADMIN

208  EVRACT8                       | SERVER            | DELL             | POWEREDGE R620          | HP5XK02                                      | U34     | ADMIN

209  EVSPLIDX01                    | SERVER            | DELL             | POWEREDGE R630          | BVQDS52                                      | O34     | ADMIN

210  EVSPLIDX02                    | SERVER            | DELL             | POWEREDGE R630          | BVQCS52                                      | O34     | ADMIN

211  EVSPLIDX03                    | SERVER            | DELL             | POWEREDGE R630          | BVQFS52                                      | O34     | ADMIN

212  EVSPLIDX04                    | SERVER            | DELL             | POWEREDGE R630          | 7DWYPD2                                      | V34     | ADMIN

213  EVSPLIDX05                    | SERVER            | DELL             | POWEREDGE R630          | 7DWZPD2                                      | V34     | ADMIN

214  EVSPLIDX06                    | SERVER            | DELL             | POWEREDGE R640          | HM0CXQ2                                      | S34     | ADMIN

215  EVSPLIDX06-DAS01              | SERVER            | DELL             | POWERVAULT MD1420       | H7R5XQ1                                      | S34     | ADMIN

216  EVSPLIDX06-DAS02              | SERVER            | DELL             | POWERVAULT MD1420       | 92NZCS2                                      | S34     | ADMIN

217  EVSPLIDX07                    | SERVER            | DELL             | POWEREDGE R640          | HM0DXQ2                                      | S34     | ADMIN

218  EVSPLIDX07-DAS01              | SERVER            | DELL             | POWERVAULT MD1420       | HNQ6XQ2                                      | S34     | ADMIN

219  EVSPLIDX07-DAS02              | SERVER            | DELL             | POWERVAULT MD1420       | H7R8XQ2                                      | S34     | ADMIN

220  EVSPLIDX91                    | SERVER            | DELL             | POWEREDGE R620          | 3Z5BH02                                      | U34     | ADMIN

221  EVSPLSES01                    | SERVER            | DELL             | POWEREDGE R640          | 3CV81Q2                                      | V34     | ADMIN

222  EVSPLSRC01                    | SERVER            | DELL             | POWEREDGE R630          | BVQ8S52                                      | O34     | ADMIN

223  EVSPLSRC02                    | SERVER            | DELL             | POWEREDGE R630          | BVPMS52                                      | O34     | ADMIN

224  EVSPLSRCES                    | SERVER            | DELL             | POWEREDGE R630          | 8TQZ482                                      | O34     | ADMIN

225  EVVSRX01                      | SERVER            | DELL             | POWEREDGE R630          | HHNZHB2                                      | P39     | ADMIN

